ID number,Surname,Faculty,Origin,Discussion viewed,Course module viewed,Quiz attempt submitted,Quiz attempt viewed,Quiz attempt summary viewed,Grade user report viewed,Quiz attempt started,Grade overview report viewed,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
HSS129_1,HSS129_Masked_1,Pharmacy,web,1,49,11,13,13,2,11,0,1,7,8,10,0,0,8,0,0,18,12,18,17,0,0,1,0,100,46,42,88
HSS129_2,HSS129_Masked_2,Pharmacy,web,1,34,11,13,12,6,11,2,0,0,10,7,0,0,8,0,6,15,15,18,10,1,0,0,0,90,49,34,83
HSS129_3,HSS129_Masked_3,Computer Information Technology,"web, ws",2,28,7,41,8,5,8,0,0,3,14,0,0,0,12,0,9,10,0,0,12,1,0,38,0,99,38,34,72
HSS129_4,HSS129_Masked_4,Veterinary Medicine,web,4,81,10,13,11,1,10,1,0,8,10,13,0,0,14,0,16,6,28,17,7,4,2,5,1,131,47,48,95
HSS129_5,HSS129_Masked_5,Science and Arts,"web, ws",2,55,11,13,12,6,11,0,0,0,9,7,1,0,8,0,7,15,19,22,19,2,1,0,0,110,50,46,96
HSS129_6,HSS129_Masked_6,Engineering,"web, ws",1,28,11,13,13,11,11,0,0,0,6,8,0,1,7,0,6,15,17,14,10,2,0,2,0,88,49,46,95
HSS129_7,HSS129_Masked_7,Applied Medical Sciences,"web, ws",2,48,10,13,11,5,10,0,0,4,7,0,0,0,7,0,7,22,19,17,12,3,0,1,0,99,49,46,95
HSS129_8,HSS129_Masked_8,Applied Medical Sciences,web,3,68,10,10,10,7,10,0,0,11,12,8,0,0,10,0,0,14,26,25,2,3,1,6,0,118,45,50,95
HSS129_9,HSS129_Masked_9,Science and Arts,web,4,67,12,13,12,5,12,0,0,6,10,7,0,0,12,0,10,17,22,18,11,1,2,9,0,125,50,48,98
HSS129_10,HSS129_Masked_10,Applied Medical Sciences,"web, ws",1,63,10,13,12,6,10,0,0,0,0,8,0,0,11,0,10,20,29,22,7,0,0,7,1,115,50,46,96
