ID number,Surname,Faculty,Origin,A file has been uploaded.,A submission has been submitted.,Comment created,Course module viewed,Discussion viewed,Grade overview report viewed,Grade user report viewed,Quiz attempt started,Quiz attempt submitted,Quiz attempt summary viewed,Quiz attempt viewed,Submission created.,Submission form viewed.,Submission updated.,The status of the submission has been viewed.,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Total Events,Label_Semester,Label_Final,Label_Total
PHY103__1,PHY103_Masked_1,Pharmacy,web,1,1,0,9,2,0,1,1,1,0,175,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,2,12,185,0,202,36,20,56
PHY103_2,PHY103_Masked_2,Pharmacy,web,1,1,0,4,2,0,0,1,1,2,98,1,10,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,1,18,105,0,127,34,26,60
PHY103__2,PHY103_Masked_3,Applied Medical Sciences,"web, ws",3,3,0,42,6,0,0,1,1,0,280,3,4,0,43,0,0,0,0,0,0,0,0,1,1,0,7,6,11,61,294,5,386,30,26,56
PHY103_3,PHY103_Masked_4,Applied Medical Sciences,"web, ws",1,1,0,63,6,0,0,1,1,1,81,1,0,0,33,0,0,0,0,0,0,0,0,1,0,0,14,10,19,31,114,0,189,44,32,76
PHY103__3,PHY103_Masked_5,Agriculture,web,0,0,0,13,4,0,0,1,1,1,77,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,7,12,89,0,109,33,44,77
PHY103_4,PHY103_Masked_6,Pharmacy,"web, ws",3,3,0,22,5,0,0,1,1,1,15,3,11,0,29,0,0,0,0,0,0,0,0,0,3,2,14,3,3,43,26,0,94,45,44,89
PHY103__4,PHY103_Masked_7,Agriculture,"web, ws",1,1,0,13,4,0,0,1,1,1,96,1,4,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,14,3,108,0,128,39,38,77
PHY103_5,PHY103_Masked_8,Applied Medical Sciences,"web, ws",0,0,0,19,2,0,3,1,1,1,27,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,2,45,0,55,34,50,84
PHY103__5,PHY103_Masked_9,Pharmacy,"web, ws",1,1,0,12,3,0,0,1,1,1,76,1,1,0,5,0,0,0,0,0,0,0,0,0,1,2,5,1,2,8,84,0,103,46,42,88
PHY103_6,PHY103_Masked_10,Applied Medical Sciences,"web, ws",1,1,0,10,3,0,0,1,1,3,32,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,44,0,58,37,26,63
PHY103__6,PHY103_Masked_11,Pharmacy,"web, ws",0,0,0,8,4,0,4,2,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,27,0,41,31,26,57
PHY103_7,PHY103_Masked_12,Pharmacy,"web, ws",4,4,0,33,10,0,0,1,1,1,141,2,5,2,32,0,0,0,0,0,0,0,0,0,0,0,10,0,1,72,153,0,236,36,24,60
PHY103__7,PHY103_Masked_13,Agriculture,web,0,0,0,16,5,0,0,1,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,3,55,0,70,42,22,64
PHY103_8,PHY103_Masked_14,Applied Medical Sciences,web,1,1,0,42,3,0,0,1,1,1,46,1,12,0,9,0,0,0,0,0,0,0,0,0,0,4,1,4,13,26,70,0,118,35,22,57
PHY103__8,PHY103_Masked_15,Medicine,web,2,2,0,32,3,0,0,1,1,1,70,2,4,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,4,24,92,0,130,48,42,90
